code,part,topic,title_en,title_zh
EMO_03,3,A Long Journey,What are the differences between group travelling and travelling alone?,null
EMO_10,3,A Time When Someone Apologized to You,Are women better than men at recognizing emotions?,null
EMO_11,3,A Perfect Job,What kind of job can be called a ‘dream job'?,null
EMO_13,3,A Time You Broke Something,Do you think clothes produced in the factory are of better quality than those made by hand?,null
EMO_13,3,A Time You Broke Something,Do you think handmade clothes are more valuable?,null
EMO_13,3,An Interesting Building,Is it worth spending a lot of money on the exterior appearance of a building?,null
EMO_13,3,Something You Can’t Live Without,Why do some grown-ups hate to throw out old things (such as clothes)?,null
GRO_04,3,A Time When Someone Apologized to You,Do you think people should apologize for anything wrong they do?,null
GRO_04,3,A Traditional Story,What can children learn from stories?,null
GRO_04,3,An Exciting Activity,What can people learn from doing dangerous activities?,null
GRO_04,3,An Old Thing,What can we learn from a museum?,null
GRO_04,3,A Person Who Learned a Skill,Why do some young people refuse to learn from older people?,null
SPA_02,3,A Person Who Learned a Skill,Do you think enterprises should provide training for their employees?,null
SPA_02,3,A Trip,Do you think people need to change the way of transportation drastically to protect the environment?,null
SPA_02,3,A Relaxing Place,Do you think there should be classes for training young people and children how to relax?,null
SPA_02,3,A Trip,How are the transportation systems in urban areas and rural areas different?,null
SPA_02,3,A Water Sport,What are the advantages of water transportation?,null
SPA_02,3,A Water Sport,What are the characteristics of goods transported by water?,null
VAL_03,3,A Time When Someone Apologized to You,Why do some people refuse to say ‘sorry' to others?,null
VAL_03,3,A Person Who Learned a Skill,Why do some young people refuse to learn from older people?,null
