code,candidate_q,untagged,tagged_elsewhere,matched_topics
EMO_12,0,0,0,null
REL_05,0,0,0,null
VAL_01,0,0,0,null
EMO_10,1,1,0,A Time When Someone Apologized to You
VAL_03,2,2,0,A Person Who Learned a Skill | A Time When Someone Apologized to You
EMO_03,3,1,2,A Long Journey | Childhood Activities | STUDY
EMO_13,6,4,2,A Time You Broke Something | An Interesting Building | Public Places | Shoes | Something You Can’t Live Without
EMO_11,7,1,6,A Perfect Job | Dreams | Having a Break
GRO_04,7,5,2,A Person Who Learned a Skill | A Story | A Time When Someone Apologized to You | A Traditional Story | An Exciting Activity | An Old Thing
SPA_02,9,6,3,A Person Who Learned a Skill | A Relaxing Place | A Trip | A Water Sport | Advertisement | Scenery & Views
REL_08,13,9,4,A Natural Place | A Wild Animal | Pets and Animals
SPA_05,30,24,6,A Foreign Country | A Long Journey | A Trip | A Trip You’d Like To Make Again | An Interesting Building | An Occasion You Got Lost | Scenery & Views
REL_02,37,28,9,A Dinner You Had | A Good Habit | A Helpful Person | A Music Event | A Person Who Enjoys Working for a Family Business | A Person Who Protects the Nature | A Time When You Encouraged Someone | A Time You Were Proud | A Toy | An App | An Important Friend | An Important Old Thing in Family | An Old Thing | An Organized Person | Day Off | Giving Advice | Hobby | Sharing | Something You Can’t Live Without
REL_04,43,17,26,A Dinner You Had | A Friend Who Is Good at Music | A Good Habit | A Person Who Learned a Skill | A Piece of Technology | A Time You Told a Truth | ACCOMMODATION | An Important Friend | An Occasion When Mobile Phone Was Not Allowed | An Occasion When People Were Smiling | Chatting | Day Off | Doing Something Well | Friends | Giving Advice | Life Stages | Public Places | Sharing | Something Interesting on Social Media | Staying With Old People
SPI_02,46,37,9,A Child Who Loves To Draw | A Creative Person | A Disappointing Movie | A Friend Who Is Good at Music | A Movie You Watched Recently | A Music Event | A Story | A Talent You Want To Improve | A Traditional Story | A Useful Book | Borrowing / Lending | Reading
